state_name,state_fips,population,state_postal,ap
Mississippi,28,2976149,MS,Miss.
Missouri,29,6137428,MO,Mo.
Montana,30,1068778,MT,Mont.
Nebraska,31,1934408,NE,Neb.,
Nevada,32,3080156,NV,Nev.,
New Hampshire,33,1359711,NH,N.H.
New Jersey,34,8882190,NJ,N.J.
New Mexico,35,2096829,NM,N.M.
New York,36,19453561,NY,N.Y.
North Carolina,37,10488084,NC,N.C.
North Dakota,38,762062,ND,N.D
Ohio,39,11689100,OH,Ohio
Oklahoma,40,3956971,OK,Okla.
Oregon,41,4217737,OR,Ore.
Pennsylvania,42,12801989,PA,Pa.
Rhode Island,44,1059361,RI,R.I.
South Carolina,45,5148714,SC,S.C.
South Dakota,46,884659,SD,S.D.
Tennessee,47,6829174,TN,Tenn.
Texas,48,28995881,TX,Texas
Vermont,50,623989,VT,Vt.
Utah,49,3205958,UT,Utah
Virginia,51,8535519,VA,Va.
Washington,53,7614893,WA,Wash.
West Virginia,54,1792147,WV,W. Va.
Wisconsin,55,5822434,WI,Wis.
Wyoming,56,578759,WY,Wyo.
Puerto Rico,72,3193694,PR,P.R.
Alabama,01,4903185,AL,Ala.
Alaska,02,731545,AK,Alaska
Arizona,04,7278717,AZ,Ariz.
Arkansas,05,3017804,AR,Ark.
California,06,39512223,CA,Calif.
Colorado,08,5758736,CO,Colo.
Delaware,10,973764,DE,Del.
"Washington, DC",11,705749,DC,DC
Connecticut,09,3565287,CT,Conn.
Florida,12,21477737,FL,Fla.
Georgia,13,10617423,GA,Ga.
Idaho,16,1787065,ID,Idaho
Hawaii,15,1415872,HI,Hawaii
Illinois,17,12671821,IL,Ill.
Indiana,18,6732219,IN,Ind.
Iowa,19,3155070,IA,Iowa
Kansas,20,2913314,KS,Kan.
Kentucky,21,4467673,KY,Ky.
Louisiana,22,4648794,LA,La.
Maine,23,1344212,ME,Maine
Maryland,24,6045680,MD,Md.
Massachusetts,25,6892503,MA,Mass.
Michigan,26,9986857,MI,Mich.
Minnesota,27,5639632,MN,Minn.
American Samoa,60,55312,AS,Am. Samoa
Guam,66,167294,GU,Guam
N. Mariana Islands,69,47329,MP,N. Mariana. Is.
Virgin Islands,78,106631,VI,V.I.
United States,00,331996199,US,US
